,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,Asphalt,Gravel_H,Gravel_L,Mud,Sand,Water,Grass,Snow,Gravel_N,Mud_N,Sand_N,Sky,Vegetation,Grass_N,Snow_N,Background
,"16, 682, Train",9.9816612742,2.121135337,2.6942378005,2.0543623625,1.5623925294,0.51932653,0.7856459434,0.6394183365,3.5460501038,0.4993403222,0.2711920099,13.1411868092,6.7310993296,3.5460501038,0.6613990758,51.2455021321
,"16, 682, Val",9.268778616,2.3777127798,3.2122198006,2.7137308424,1.8104529192,0.6068083916,0.5680099723,0.4244703693,3.0083885499,0.80302606,0.3457364976,12.7937444439,6.3612455268,3.0083885499,0.4243630631,52.2729236178
,"16, 682, Test",9.0189095198,2.6532702213,2.8590394077,1.6208636177,1.4339943257,0.2560778678,0.695316037,0.7157144618,3.8452912765,0.9052350784,0.3580669229,12.6968901383,6.6167940082,3.8452912765,0.6192254734,51.8600203671
,"16, 1364, Train",12.571364509,2.8367465579,3.7217113932,2.5150988375,2.075653602,0.6328962434,0.94418287,0.8825167998,4.1323182268,0.6911691794,0.292159206,16.1808680724,7.0154199005,4.1323182268,0.7885866148,40.5869897605
,"16, 1364, Val",11.1656339443,2.823285927,4.1263907931,3.2177699872,2.1453779696,0.7069732125,0.5049573898,0.896509818,4.6426319231,0.8218490621,0.3415087591,16.412996637,6.9162358266,4.6426319231,0.7630906348,39.8721561926
,"16, 1364, Test",13.4250951825,2.5435031234,2.5630212422,2.3473647265,1.7646399495,0.4221219972,1.2757226575,0.9101684527,4.4790907199,0.6586054269,0.2879156237,15.6465615394,7.6355382733,4.4790907199,0.8036901438,40.7578702219
,"16, 6820, Train",26.7599031644,5.5348764267,6.9116243151,5.0514818767,3.5906104796,1.4608977541,1.3291664596,1.3114118844,5.7568905876,0.9812751486,0.2945601114,7.968993061,4.8533070587,5.7568905876,1.2200968793,21.218014205
,"16, 6820, Val",28.0481539288,5.7774308016,6.8988201853,5.2005672376,3.1643278992,1.9875365512,1.3551577265,1.3871283063,6.2250482926,0.7570594704,0.4022947147,7.4263725183,4.446277236,6.2250482926,0.9424879942,19.7562888447
,"16, 6820, Test",26.2851452992,5.4768350543,7.8170909157,5.4668209598,3.8876109299,1.6033832935,0.9646044857,1.3337611929,5.5726830375,1.0636954299,0.2163847234,7.1052979504,4.9724796204,5.5726830375,1.3684027769,21.2931212931
,"16, 9548, Train",23.2139980272,4.7569876925,6.1199935151,4.5243676223,3.1960820998,1.2833707837,1.2532466078,1.2102204752,5.6141900104,0.9318352653,0.3377971142,11.881831396,6.2998046379,5.6141900104,1.1331258908,22.6289588515
,"16, 9548, Val",23.4600857904,4.6143027663,6.1435896447,4.2400369025,3.203003447,1.5639731232,1.342761352,1.2114818005,5.5512795723,1.1594033881,0.4287920067,12.0820241483,5.7035896875,5.5512795723,1.1655891144,22.5788076838
,"16, 9548, Test",23.0835300808,5.0054532632,5.9420024041,4.0772629693,2.9854200632,1.3499223066,1.0885539337,1.1884853285,6.1775192138,0.6524547779,0.240995932,12.2123234079,6.5262162508,6.1775192138,0.9236346024,22.3687062518
